1374589141 2013-07-23_15:19 55 41 14
1374676103 2013-07-24_15:28 55 41 14
1374676207 2013-07-24_15:30 55 41 14
1374676258 2013-07-24_15:30 55 41 14
1374676330 2013-07-24_15:32 55 41 14
1374685602 2013-07-24_18:06 55 41 14
1374685636 2013-07-24_18:07 55 41 14
1374691633 2013-07-24_19:47 55 41 14
1374692198 2013-07-24_19:56 55 41 14
1374692261 2013-07-24_19:57 55 41 14
1374693089 2013-07-24_20:11 55 41 14
1374693439 2013-07-24_20:17 55 41 14
1374700639 2013-07-24_22:17 55 41 14
1374707840 2013-07-25_00:17 55 41 14
1374715045 2013-07-25_02:17 55 41 14
1374722240 2013-07-25_04:17 55 41 14
1374729439 2013-07-25_06:17 55 41 14
1374736640 2013-07-25_08:17 55 41 14
